timestamp,TP2,TP3,H1,DV_pressure,Reservoirs,Oil_temperature,Motor_current
4/16/2020 0:00,-0.014,9.74,9.73,-0.024,9.74,65.375,3.807500000000001
4/16/2020 0:05,-0.014,9.302,9.292,-0.024,9.304,62.3,0.045
4/16/2020 0:10,-0.014,8.9,8.886,-0.024,8.9,57.425,0.04
4/16/2020 0:15,-0.016,8.45,8.44,-0.024,8.452,56.175,0.0425
4/16/2020 0:19,8.828,8.49,-0.018,0.3960000000000008,8.488,54.325,5.8475
4/16/2020 0:24,9.252,9.054,-0.014,1.7620000000000005,9.052,67.07499999999999,5.977499999999999
4/16/2020 0:52,-0.012,8.282,8.268,-0.022,8.278,57.425,3.952500000000001
4/16/2020 2:28,8.87,8.408,-0.008,-0.02,8.404,47.425,5.940000000000001
4/16/2020 2:33,-0.014,10.006,9.994,-0.022,10.004,64.25,3.92
4/16/2020 2:38,-0.014,9.656,9.644,-0.022,9.654,60.45,3.8375
4/16/2020 2:43,-0.014,9.33,9.318,-0.022,9.33,55.150000000000006,0.045
4/16/2020 2:48,-0.014,9.032,9.018,-0.024,9.03,53.42499999999998,0.045
4/16/2020 2:53,-0.014,8.748,8.738,-0.024,8.748,52.025000000000006,0.045
4/16/2020 2:58,-0.014,8.486,8.476,-0.024,8.488,50.825,0.0425
4/16/2020 3:03,-0.018,8.24,8.23,-0.024,8.24,49.8,0.0425
4/16/2020 3:08,9.6,9.202,-0.014,-0.024,9.2,53.225,5.949999999999999
4/16/2020 3:13,-0.014,9.69,9.678,-0.024,9.69,60.1,3.7675
4/16/2020 3:18,-0.014,9.374,9.362,-0.022,9.374,56.69999999999999,0.045
4/16/2020 3:23,-0.014,9.074,9.06,-0.022,9.074,54.2,0.045
4/16/2020 3:28,-0.016,8.788,8.778,-0.024,8.79,52.55000000000001,0.0425
4/16/2020 3:33,-0.014,8.528,8.516,-0.024,8.528,51.400000000000006,0.045
4/16/2020 3:38,-0.016,8.284,8.274,-0.024,8.286,50.325,0.045
4/16/2020 3:43,8.858,8.352,-0.024,-0.024,8.35,49.325,5.987499999999999
4/16/2020 3:47,-0.012,9.734,9.724,-0.022,9.734,60.14999999999999,3.7775
4/16/2020 3:52,-0.014,9.418,9.404,-0.024,9.418,57.89999999999999,0.045
4/16/2020 3:57,-0.014,9.114,9.102,-0.024,9.114,54.35000000000001,0.0425
4/16/2020 4:02,-0.016,8.834,8.822,-0.024,8.834,52.725,0.0425
4/16/2020 4:07,-0.018,8.566,8.556,-0.026,8.568,51.6,0.0425
4/16/2020 4:12,-0.014,8.322,8.312,-0.022,8.324,50.52499999999999,0.0425
